Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Optimizer,Val Loss,Val Accuracy
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,1,16,0,0,7,2,0,16,0,0,4,0,1,256,1,0,6,1,128,1,0,1,0,0.925523573399,0.6751
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,0,128,1,0,5,0,1.20495376396,0.5781
1,64,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,0,0,6,1,1024,1,0,4,0,1.15083197708,0.5926
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,6,2,1,16,0,0,7,2,0,16,0,0,4,0,1,256,1,0,6,1,32,1,0,1,0,1.11828986988,0.6109
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.11131890688,0.616
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,1,256,1,0,4,1,1.18298281755,0.5768
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,0,0,3,1,1.04179684906,0.6411
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,0,1,128,1,0,5,0,0.960342332458,0.662
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,1.2229111639,0.5833
1,32,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,1.19975303841,0.582
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,32,1,0,3,1,128,0,0,0,2,1.29161749706,0.547
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.50523508015,0.4535
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.40886106262,0.5497
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,0,128,1,0,5,0,1.11550903625,0.606
1,64,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.08777887192,0.6203
1,64,1,0,10,2,0,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,0,0,3,1,14.5062856964,0.1
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,32,1,0,3,1,128,0,0,0,2,1.09930534515,0.6081
1,64,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,2.52282027435,0.3992
